OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-02-07T20:22:51.280896,13.76457752,.0023999,90.2161,68.7728,327.7909,86.7634,0,U,900,999,5363,.69872653E-3,.693E-5,0
CALSPHERE 2,1964-063E,2026-02-07T23:15:09.123840,13.52888973,.00168513,90.2291,72.7482,239.3476,168.8446,0,U,902,999,83879,.4455933E-4,.38E-6,0
LCS 1,1965-034C,2026-02-07T17:14:11.624640,9.89309827,.00133619,32.1393,124.4255,22.8236,337.2853,0,U,1361,999,19706,-.9045559E-3,.1E-7,0
TEMPSAT 1,1965-065E,2026-02-07T22:47:05.435808,13.33587232,.00679504,89.9881,212.6078,251.1039,232.0770,0,U,1512,999,94282,.74767061E-4,.46E-6,0
CALSPHERE 4A,1965-065H,2026-02-07T18:29:42.354240,13.36253698,.00717035,89.9087,123.7449,108.9234,12.1660,0,U,1520,999,94542,.20009137E-3,.114E-5,0
OPS 5712 (P/L 160),1967-053A,2026-02-07T22:41:40.861248,14.75621372,.00060624,69.9197,354.5821,254.0721,105.9758,0,U,2826,999,4715,.16532392E-2,.11245E-3,0
LES-5,1967-066E,2026-02-07T22:08:33.402048,1.09426143,.00567883,2.3249,100.4783,205.9397,229.3634,0,U,2866,999,12962,0,-.11E-5,0
SURCAL 159,1967-053F,2026-02-07T22:38:45.517632,13.99565673,.00095599,69.9731,279.1287,278.6714,81.3310,0,U,2872,999,99212,.10732974E-3,.103E-5,0
OPS 5712 (P/L 153),1967-053H,2026-02-07T08:47:38.108256,13.96805639,.00076292,69.9738,33.5612,341.3669,18.7157,0,U,2874,999,98865,.71806425E-4,.47E-6,0
OPS 3811 (DSP 2),1971-039A,2026-02-07T21:36:36.465120,0.98162034,.002447,0.2395,342.9179,308.0043,125.1102,0,U,5204,999,20496,0,-.13E-5,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-02-07T22:51:10.629504,14.37687326,.00581221,87.6230,14.6560,303.0864,56.4763,0,U,5398,999,85531,.39391426E-3,.1224E-4,0
OSCAR 7 (AO-7),1974-089B,2026-02-07T22:49:48.671328,12.53695636,.00122504,101.9972,50.8219,19.1527,46.6281,0,U,7530,999,34432,.33971566E-4,-.41E-6,0
STARLETTE,1975-010A,2026-02-07T21:41:52.993248,13.82348836,.02055454,49.8225,254.9049,355.9476,3.9747,0,U,7646,999,57665,.8941351E-5,-.132E-5,0
LAGEOS 1,1976-039A,2026-02-07T22:56:09.176928,6.38664938,.00446591,109.8245,135.0979,329.9487,187.8461,0,U,8820,999,90488,0,-.15E-6,0
OPS 8701 (DSP 10),1982-019A,2026-02-07T04:21:22.851936,0.98189048,.000581,9.5524,310.1402,320.6177,216.8756,0,U,13086,999,2438,0,-.53E-6,0
PHASE 3B (AO-10),1983-058B,2026-02-05T18:22:14.087712,2.05870291,.605624,25.9610,241.7283,79.1046,339.8337,0,U,14129,999,29278,0,.196E-5,0
UOSAT 2 (UO-11),1984-021B,2026-02-07T22:23:01.646016,14.90394435,.0006077,97.7900,6.1091,247.6082,112.4493,0,U,14781,999,23787,.22116006E-3,.2099E-4,0
AJISAI (EGS),1986-061A,2026-02-07T22:13:40.080576,12.44515308,.00112392,50.0071,184.8700,210.3534,239.3405,0,U,16908,999,46429,.43388571E-4,-.91E-6,0
TDRS 3,1988-091B,2026-02-07T04:28:52.133664,1.00270021,.0044048,12.6997,341.8609,350.3617,183.4729,0,U,19548,999,12408,0,-.295E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-02-07T06:33:38.892384,2.13156102,.0023432,64.8677,76.6387,217.4677,136.9533,0,U,19751,999,28859,0,-.24E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-02-07T23:29:51.875232,2.13204583,.00204526,65.0134,314.9890,213.6602,97.5034,0,U,20026,999,28574,0,-.75E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-02-07T19:00:06.134688,1.00275637,.00088389,12.4565,351.9387,324.0879,232.6628,0,U,20253,999,25926,0,-.362E-5,0
LUSAT (LO-19),1990-005G,2026-02-07T21:34:04.029600,14.34075072,.00108771,98.8950,57.0814,221.3561,138.6800,0,U,20442,999,88386,.81151694E-4,.18E-5,0
HST,1990-037B,2026-02-07T19:00:59.638752,15.29003133,.00018101,28.4662,243.8802,133.8619,226.2126,0,U,20580,999,76873,.30147122E-3,.8971E-4,0
SKYNET 4C,1990-079A,2026-02-06T23:44:20.639328,1.00275920,.00037813,13.3803,350.7027,334.0892,201.7903,0,U,20776,999,12958,0,.128E-5,0
USA 65 (DSP 15),1990-095A,2026-02-07T18:52:06.899808,0.98396582,.00031214,14.0830,344.9421,56.5705,116.6398,0,U,20929,999,2419,0,-.52E-6,0
TDRS 5,1991-054B,2026-02-07T14:38:38.693184,1.00273758,.0012848,14.0866,354.7361,269.2483,285.7375,0,U,21639,999,12641,0,.87E-6,0
USA 75 (DSP 16),1991-080B,2026-02-07T15:42:40.057056,0.99190788,.00025241,14.0724,346.4317,59.7830,120.5375,0,U,21805,999,2442,0,-.297E-5,0
LAGEOS 2,1992-070B,2026-02-07T15:25:53.583456,6.47293284,.0137898,52.6817,348.5203,130.6922,70.8983,0,U,22195,999,78703,0,-.9E-7,0
TDRS 6,1993-003B,2026-02-07T18:11:18.312576,1.00270281,.00056818,14.1797,358.0177,209.4590,157.4255,0,U,22314,999,12111,0,-.292E-5,0
SCD 1,1993-009B,2026-02-07T23:39:19.861920,14.46049875,.00418697,24.9695,285.2834,210.3432,268.3940,0,U,22490,999,74239,.94352604E-4,.532E-5,0
UFO 2 (USA 95),1993-056A,2026-02-07T13:24:30.797856,1.00272140,.0008283,11.8523,4.2559,326.6571,36.5497,0,U,22787,999,11725,0,.127E-5,0
STELLA,1993-061B,2026-02-07T22:49:55.153056,14.27466569,.00053521,98.7908,102.6413,249.8949,234.5368,0,U,22824,999,68633,.2932501E-5,-.38E-6,0
EYESAT A (AO-27),1993-061C,2026-02-07T18:41:37.811040,14.30902855,.00093713,98.7047,106.1565,117.4906,242.7230,0,U,22825,999,68849,.77323317E-4,.158E-5,0
ITAMSAT (IO-26),1993-061D,2026-02-07T17:26:36.726144,14.31326068,.00099895,98.6996,106.0091,103.0958,257.1340,0,U,22826,999,68879,.88696968E-4,.19E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-02-07T11:07:51.396384,1.00272724,.00041987,17.4246,29.1047,294.9333,250.5262,0,U,22988,999,3165,0,-.2E-5,0
RADIO ROSTO (RS15),1994-085A,2026-02-07T21:30:14.139936,11.27584001,.01515769,64.8164,152.3168,27.7004,333.1892,0,U,23439,999,28132,.37498293E-2,.89E-6,0
UFO 4 (USA 108),1995-003A,2026-02-07T17:30:44.700192,1.00268469,.00035556,9.6514,13.6490,303.5299,255.7602,0,U,23467,999,11365,0,-.19E-6,0
TDRS 7,1995-035B,2026-02-07T20:32:27.612960,1.00267433,.00058236,13.4303,349.0778,44.0045,142.0432,0,U,23613,999,11195,0,-.234E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-02-07T11:58:38.606016,1.00270796,.0003813,14.0256,4.7084,323.0008,229.5805,0,U,23712,999,3158,0,-.18E-6,0
